title,link
Fusion-Plasma Response Modeling through Neural Network Machine Learning,/doi/10.5555/3580523.3580562
Human-Computer Collaborative Visual Design Creation Assisted by Artificial Intelligence,/doi/10.1145/3554735
Adaptive HTF-MPR: An Adaptive Heterogeneous TensorFlow Mapper Utilizing Bayesian Optimization and Genetic Algorithms,/doi/10.1145/3396949
"Edge Intelligence: Concepts, Architectures, Applications, and Future Directions",/doi/10.1145/3486674
Achieving High In Situ Training Accuracy and Energy Efficiency with Analog Non-Volatile Synaptic Devices,/doi/10.1145/3500929
Something for everyone: AI lab assignments that span learning styles and aptitudes,/doi/10.5555/1352627.1352650
Digital Twin-enabled AI Enhancement in Smart Critical Infrastructures for 5G,/doi/10.1145/3526195
Initial Responses to False Positives in AI-Supported Continuous Interactions: A Colonoscopy Case Study,/doi/10.1145/3480247
DRL based Joint Affective Services Computing and Resource Allocation in ISTN,/doi/10.1145/3561821
Citizen Participation and Machine Learning for a Better Democracy,/doi/10.1145/3452118
DNNTune: Automatic Benchmarking DNN Models for Mobile-cloud Computing,/doi/10.1145/3368305
A Dynamic Service Migration Mechanism in Edge Cognitive Computing,/doi/10.1145/3239565
CoEdge: Cooperative DNN Inference With Adaptive Workload Partitioning Over Heterogeneous Edge Devices,/doi/10.1109/TNET.2020.3042320
Importance of Combination of Ecology and Literature,/doi/10.1145/3519597
A MEC Offloading Strategy Based on Improved DQN and Simulated Annealing for Internet of Behavior,/doi/10.1145/3532093
Recurrent Neural Networks for Edge Intelligence: A Survey,/doi/10.1145/3448974
PhiNets: A Scalable Backbone for Low-power AI at the Edge,/doi/10.1145/3510832
OnSRAM: Efficient Inter-Node On-Chip Scratchpad Management in Deep Learning Accelerators,/doi/10.1145/3530909
Synaptic Activity and Hardware Footprint of Spiking Neural Networks in Digital Neuromorphic Systems,/doi/10.1145/3520133
ELSA: A Throughput-Optimized Design of an LSTM Accelerator for Energy-Constrained Devices,/doi/10.1145/3366634
A Unified Programmable Edge Matrix Processor for Deep Neural Networks and Matrix Algebra,/doi/10.1145/3524453
Scale-Out vs Scale-Up: A Study of ARM-based SoCs on Server-Class Workloads,/doi/10.1145/3232162
Modeling the Thermal Dynamics of Buildings: A Latent-Force- Model-Based Approach,/doi/10.1145/2629674
MobileTrust: Secure Knowledge Integration in VANETs,/doi/10.1145/3364181
Intelligent Management Systems for Energy Efficiency in Buildings: A Survey,/doi/10.1145/2611779
Designing Green Communication Systems for Smart and Connected Communities via Dynamic Spectrum Access,/doi/10.1145/3274284
Predictive Analytics for Smart Parking: A Deep Learning Approach in Forecasting of IoT Data,/doi/10.1145/3412842
Photo Sleuth: Identifying Historical Portraits with Face Recognition and Crowdsourced Human Expertise,/doi/10.1145/3365842
Graphene-Based Artificial Synapses with Tunable Plasticity,/doi/10.1145/3447778
Exploring the Role of Common Model of Cognition in Designing Adaptive Coaching Interactions for Health Behavior Change,/doi/10.1145/3375790
The LDBC Social Network Benchmark: Business Intelligence Workload,/doi/10.14778/3574245.3574270
Toward a Sparse Self-Organizing Map for Neuromorphic Architectures,/doi/10.1145/2638559
E2-VOR: An End-to-End En/Decoder Architecture for Efficient Video Object Recognition,/doi/10.1145/3543852
Neural Network Approximation of Graph Fourier Transform for Sparse Sampling of Networked Dynamics,/doi/10.1145/3461838
Magic Brush: An AI-based Service for Dementia Prevention focused on Intrinsic Motivation,/doi/10.1145/3555549
Autonomous Orchestration of Distributed Discrete Event Simulations in the Presence of Resource Uncertainty,/doi/10.1145/2746345
FORTNIoT: Intelligible Predictions to Improve User Understanding of Smart Home Behavior,/doi/10.1145/3432225
Vibration Edge Computing in Maritime IoT,/doi/10.1145/3484717
Maintaining Control Resiliency and Flow Programmability in Software-Defined WANs During Controller Failures,/doi/10.1109/TNET.2021.3128771
A Low-power Programmable Machine Learning Hardware Accelerator Design for Intelligent Edge Devices,/doi/10.1145/3531479
Collective intelligence as a public good,/doi/10.1177/26339137221083293
Towards Energy-Preserving Natural Language Understanding With Spiking Neural Networks,/doi/10.1109/TASLP.2022.3221011
Incorporation of Solvent Effect into Multi-Objective Evolutionary Algorithm for Improved Protein Structure Prediction,/doi/10.1109/TCBB.2017.2705094
Machine Intelligence on Resource-Constrained IoT Devices: The Case of Thread Granularity Optimization for CNN Inference,/doi/10.1145/3126555
A Design Methodology for Energy-Aware Processing in Unmanned Aerial Vehicles,/doi/10.1145/3470451
Online Learning for Orchestration of Inference in Multi-user End-edge-cloud Networks,/doi/10.1145/3520129
Adaptive Configuration Selection and Bandwidth Allocation for Edge-Based Video Analytics,/doi/10.1109/TNET.2021.3106937
"Power, Performance, and Area Benefit of Monolithic 3D ICs for On-Chip Deep Neural Networks Targeting Speech Recognition",/doi/10.1145/3273956
A Multi-Dimensional Smart Community Discovery Scheme for IoT-Enriched Smart Homes,/doi/10.1145/3062178
"Architecture and Implementation of Dynamic Parallelism, Voltage and Frequency Scaling (PVFS) on CGRAs",/doi/10.1145/2700250
Energy management for MapReduce clusters,/doi/10.14778/1920841.1920862
Edge Computing AI-IoT Integrated Energy-efficient Intelligent Transportation System for Smart Cities,/doi/10.1145/3507906
Toward Smart Embedded Systems: A Self-aware System-on-Chip (SoC) Perspective,/doi/10.1145/2872936
"Accurate, Dynamic, and Distributed Localization of Phenomena for Mobile Sensor Networks",/doi/10.1145/2882966
RDeepSense: Reliable Deep Mobile Computing Models with Uncertainty Estimations,/doi/10.1145/3161181
Optimizing the Lifetime of Sensor Networks with Uncontrollable Mobile Sinks and QoS Constraints,/doi/10.1145/2873059
DICE: Monitoring Global Invariants with Wireless Sensor Networks,/doi/10.1145/2509434
Stabilizing Integrators for Real-Time Physics,/doi/10.1145/3153420
Multi-View Speech Emotion Recognition Via Collective Relation Construction,/doi/10.1109/TASLP.2021.3133196
Towards on-node Machine Learning for Ultra-low-power Sensors Using Asynchronous Σ Δ Streams,/doi/10.1145/3404975
Green Planning of IoT Home Automation Workflows in Smart Buildings,/doi/10.1145/3549549
An advection-reflection solver for detail-preserving fluid simulation,/doi/10.1145/3197517.3201324
A circuit-architecture co-optimization framework for exploring nonvolatile memory hierarchies,/doi/10.1145/2541228.2541230
Energy-efficient Design of MTJ-based Neural Networks with Stochastic Computing,/doi/10.1145/3359622
Scattering Delay Network Simulator of Coupled Volume Acoustics,/doi/10.1109/TASLP.2022.3143697
"A system architecture, processor, and communication protocol for secure implants",/doi/10.1145/2541228.2555313
MEC-Based Jamming-Aided Anti-Eavesdropping with Deep Reinforcement Learning for WBANs,/doi/10.1145/3453186
Using Deep Learning and Mobile Offloading to Control a 3D-printed Prosthetic Hand,/doi/10.1145/3351260
Energy-preserving integrators for fluid animation,/doi/10.1145/1531326.1531344
Learning to Infer the Status of Heavy-Duty Sensors for Energy-Efficient Context-Sensing,/doi/10.1145/2089094.2089111
A Second-Order Advection-Reflection Solver,/doi/10.1145/3340257
FEPR: fast energy projection for real-time simulation of deformable objects,/doi/10.1145/3197517.3201277
"BuildSense: Accurate, Cost-aware, Fault-tolerant Monitoring with Minimal Sensor Infrastructure",/doi/10.1145/3341171
Computational p-Willmore Flow with Conformal Penalty,/doi/10.1145/3369387
Energy-Efficient Neural Computing with Approximate Multipliers,/doi/10.1145/3097264
Water Flow Driven Sensor Networks for Leakage and Contamination Monitoring in Distribution Pipelines,/doi/10.1145/3342513
Toward Battery-Free Wearable Devices: The Synergy between Two Feet,/doi/10.1145/3185503
Energy-efficient Static Task Scheduling on VFI-based NoC-HMPSoCs for Intelligent Edge Devices in Cyber-physical Systems,/doi/10.1145/3336121
Multi-Persona Mobility: Joint Cost-Effective and Resource-Aware Mobile-Edge Computation Offloading,/doi/10.1109/TNET.2021.3066558
Position based fluids,/doi/10.1145/2461912.2461984
Deep Neural Network Optimized to Resistive Memory with Nonlinear Current-Voltage Characteristics,/doi/10.1145/3145478
Exponential integrators for stiff elastodynamic problems,/doi/10.1145/2508462
Ibex: an intelligent storage engine with support for advanced SQL offloading,/doi/10.14778/2732967.2732972
A Game-Theoretic Analysis of Energy-Depleting Jamming Attacks with a Learning Counterstrategy,/doi/10.1145/3365838
Stackabilization,/doi/10.1145/2366145.2366177
RISE: An Automated Framework for Real-Time Intelligent Video Surveillance on FPGA,/doi/10.1145/3126549
An Energy-efficient and Privacy-aware Decomposition Framework for Edge-assisted Federated Learning,/doi/10.1145/3522741
Tones for real: Managing multipath in underwater acoustic wakeup,/doi/10.1145/2422966.2422984
Deep Q Network–Driven Task Offloading for Efficient Multimedia Data Analysis in Edge Computing–Assisted IoV,/doi/10.1145/3548687
A study towards applying thermal inertia for energy conservation in rooms,/doi/10.1145/2529050
ASHRAY: Enhancing Water-usage Comfort in Developing Regions using Data-driven IoT Retrofits,/doi/10.1145/3491242
A System-Level Simulator for RRAM-Based Neuromorphic Computing Chips,/doi/10.1145/3291054
Soter: Smart Bracelets for Children’s Safety,/doi/10.1145/2700483
ROBIN: A Robust Optical Binary Neural Network Accelerator,/doi/10.1145/3476988
SHASTA: Synergic HW-SW Architecture for Spatio-temporal Approximation,/doi/10.1145/3412375
"Cost-effective, Energy-efficient, and Scalable Storage Computing for Large-scale AI Applications",/doi/10.1145/3415580
An LSH-based Offloading Method for IoMT Services in Integrated Cloud-Edge Environment,/doi/10.1145/3408319
Learning from Non-experts: An Interactive and Adaptive Learning Approach for Appliance Recognition in Smart Homes,/doi/10.1145/3491241
Context-Aware Compilation of DNN Training Pipelines across Edge and Cloud,/doi/10.1145/3494981
Negative Information Measurement at AI Edge: A New Perspective for Mental Health Monitoring,/doi/10.1145/3471902
Edge-Assisted Control for Healthcare Internet of Things: A Case Study on PPG-Based Early Warning Score,/doi/10.1145/3407091
"Wireless Network Instabilities in the Wild: Measurement, Applications NonResilience, and OS Remedy",/doi/10.1109/TNET.2018.2885872
iBUS: an integrated beamformer and uplink scheduler for OFDMA small cells,/doi/10.1109/TNET.2015.2393356
Efficient gathering of correlated data in sensor networks,/doi/10.1145/1325651.1325655
FluidNet: a flexible cloud-based radio access network for small cells,/doi/10.5555/3001647.3001667
LDAC: Locality-Aware Data Access Control for Large-Scale Multicore Cache Hierarchies,/doi/10.1145/2983632
Reconfigurable Framework for Resilient Semantic Segmentation for Space Applications,/doi/10.1145/3472770
Fluid carving: intelligent resizing for fluid simulation data,/doi/10.1145/3355089.3356572
Energy-Efficient Wi-Fi Sensing Policy Under Generalized Mobility Patterns With Aging,/doi/10.1109/TNET.2015.2468590
Reining in Long Tails in Warehouse-Scale Computers with Quick Voltage Boosting Using Adrenaline,/doi/10.1145/3054742
Multisensor Adaptive Control System for IoT-Empowered Smart Lighting with Oblivious Mobile Sensors,/doi/10.1145/3369392
Intelligent Intrusion Detection in Low-Power IoTs,/doi/10.1145/2990499
Writeback-aware partitioning and replacement for last-level caches in phase change main memory systems,/doi/10.1145/2086696.2086732
CLU: A Near-Memory Accelerator Exploiting the Parallelism in Convolutional Neural Networks,/doi/10.1145/3427472
Privacy-preserving Secure Media Streaming for Multi-user Smart Environments,/doi/10.1145/3423047
Dynamic Reliability Management in Neuromorphic Computing,/doi/10.1145/3462330
