,link
0,https://www.sciencedirect.com/science/article/pii/S0959652621037768
1,https://www.sciencedirect.com/science/article/pii/S2352484721007757
2,https://www.sciencedirect.com/science/article/pii/S0160791X21002165
3,https://www.sciencedirect.com/science/article/pii/S0959652621000548
4,https://www.sciencedirect.com/science/article/pii/S2666691X21000208
5,https://www.sciencedirect.com/science/article/pii/S0959652620326214
6,https://www.sciencedirect.com/science/article/pii/S0195925520307939
7,https://www.sciencedirect.com/science/article/pii/S0268401220300967
8,https://www.sciencedirect.com/science/article/pii/S0148296320305191
9,https://www.sciencedirect.com/science/article/pii/S0040162520312464
10,https://www.sciencedirect.com/science/article/pii/S2210670720305850
11,https://www.sciencedirect.com/science/article/pii/S1472811719300138
12,https://www.sciencedirect.com/science/article/pii/S1385894720341875
13,https://www.sciencedirect.com/science/article/pii/S0958166920300100
14,https://www.sciencedirect.com/science/article/pii/S2666546820300367
15,https://www.sciencedirect.com/science/article/pii/S2210670721005412
16,https://www.sciencedirect.com/science/article/pii/S0959652620352860
17,https://www.sciencedirect.com/science/article/pii/S0960852421009834
18,https://www.sciencedirect.com/science/article/pii/S0038092X21004606
19,https://www.sciencedirect.com/science/article/pii/S0959652619340715
20,https://www.sciencedirect.com/science/article/pii/B978032385769700015X
21,https://www.sciencedirect.com/science/article/pii/S2405896321009721
22,https://www.sciencedirect.com/science/article/pii/S0378778819336527
23,https://www.sciencedirect.com/science/article/pii/S2666389921001719
24,https://www.sciencedirect.com/science/article/pii/S2210670721003346
25,https://www.sciencedirect.com/science/article/pii/S0160791X20303766
26,https://www.sciencedirect.com/science/article/pii/S221067072030651X
27,https://www.sciencedirect.com/science/article/pii/S0893608021003683
28,https://www.sciencedirect.com/science/article/pii/S1364032121004044
29,https://www.sciencedirect.com/science/article/pii/S0378778819316688
30,https://www.sciencedirect.com/science/article/pii/S219985312200840X
31,https://www.sciencedirect.com/science/article/pii/S0196890421009705
32,https://www.sciencedirect.com/science/article/pii/S2589811621000203
33,https://www.sciencedirect.com/science/article/pii/S2213138821003684
34,https://www.sciencedirect.com/science/article/pii/S030859612030080X
35,https://www.sciencedirect.com/science/article/pii/S0360132321002547
36,https://www.sciencedirect.com/science/article/pii/S2468227620302891
37,https://www.sciencedirect.com/science/article/pii/S0038092X21004588
38,https://www.sciencedirect.com/science/article/pii/S0167739X21002181
39,https://www.sciencedirect.com/science/article/pii/S2199853122009246
40,https://www.sciencedirect.com/science/article/pii/S2212827120307435
41,https://www.sciencedirect.com/science/article/pii/B9780128244630000094
42,https://www.sciencedirect.com/science/article/pii/S026840121930917X
43,https://www.sciencedirect.com/science/article/pii/S0048969721046982
44,https://www.sciencedirect.com/science/article/pii/S0306261921009843
45,https://www.sciencedirect.com/science/article/pii/S2351978920300962
46,https://www.sciencedirect.com/science/article/pii/S1364032121002616
47,https://www.sciencedirect.com/science/article/pii/S0313592621000370
48,https://www.sciencedirect.com/science/article/pii/S2211285521004833
49,https://www.sciencedirect.com/science/article/pii/S0022169421007733
50,https://www.sciencedirect.com/science/article/pii/S2405896321007564
